disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
726,tuberous sclerosis,"Tuberous sclerosis, also known as tuberous sclerosis complex (TSC), is a genetic condition that causes small, noncancerous tumors to grow in different parts of your body. It can affect your brain, kidneys, heart, lungs and skin.",Genetics / Genomic Medicine,"depressive or psychotic symptoms, elbow weakness, seizures",mild,Needs timely evaluation,"How doctors diagnose tuberous sclerosis Doctors diagnose TSC by looking for signs of the condition and reviewing the symptoms you experience. They’ll do a full skin exam. They may use a special light to look for light patches. They may also do an eye exam. Imaging tests can help find growths linked to TSC. These may include: Brain MRI or CT scan Chest CT scan Heart ultrasound Kidney ultrasound or MRI Genetic testing can also help diagnose TSC. It looks for changes in the TSC1 or TSC2 gene. Not everyone needs genetic testing, but it can confirm the diagnosis and help guide family planning.","1.000, 0.833, 0.666",https://my.clevelandclinic.org/health/diseases/17586-tuberous-sclerosis
727,turner syndrome,"Turner syndrome (TS) is when one of the X chromosomes is partially or completely missing. It’s a congenital condition (meaning, a condition that you’re born with) that affects females only.",Genetics / Genomic Medicine,"depression, emotional symptoms",mild,"Varies, but usually not an immediate emergency","How doctors diagnose this condition Healthcare providers can diagnose Turner syndrome before or after birth. Before birth, they use the following tests to diagnose the condition: Noninvasive prenatal testing (NIPT) . These are blood tests during pregnancy that detect congenital disorders in the fetus. Ultrasound during pregnancy . This may show that the fetus has some features of TS, like heart problems or fluid around the neck. Amniocentesis and chorionic villus sampling . Providers perform a genetic test with karyotype analysis on amniotic fluid or placental tissue . It can confirm if the fetus has Turner syndrome. Advertisement After birth, a karyotyping test can confirm Turner syndrome. This is a blood test. A pathologist will check your blood for a missing X chromosome.","1.0, 1.0",https://my.clevelandclinic.org/health/diseases/15200-turner-syndrome
728,typhoid fever,"Typhoid fever is an illness caused by the bacterium Salmonella Typhi ( S. Typhi). It infects your small intestines (gut) and causes high fever, stomach pain and other symptoms. Typhoid fever is also called enteric fever.",Infectious Diseases,"wrist pain, fever",mild,Usually needs treatment but not emergency,"How is typhoid fever diagnosed? Your healthcare provider will use your symptoms, your travel history and lab tests to diagnose typhoid fever. They’ll give you a physical exam and listen to your heart and lungs. It’s very important to tell your provider if you’ve traveled recently or think you’ve been exposed to typhoid, otherwise they might not know to test for it. They’ll also use the information to decide what treatment to give. What tests can be done to diagnose typhoid fever? Your healthcare provider will take samples of body fluids or tissue to test for signs of S. Typhi. They might take samples of your: Blood. Your provider will use a needle to take a small tube of blood from your arm. Poop (stool). Your healthcare provider will give you a sterile container and instructions on how to collect a sample. Pee (urine). You may be asked to pee into a cup given to you by your healthcare provider. Your provider might numb your skin and take a sample with a small razor or scalpel. Bone marrow . Your provider will numb your skin and use a special needle to get a sample of the inside of your bones. It’s rare that you’d ever need this test for diagnosis. You provider may also take X-rays (pictures of the inside of your body) to look for changes in your lungs.","1.0, 1.0",https://my.clevelandclinic.org/health/diseases/17730-typhoid-fever
729,ulcerative colitis,Ulcerative colitis is a long-term condition where the colon and rectum become inflamed.,Gastroenterology / Hepatology,"swollen lymph nodes, nausea, vomiting, sharp abdominal pain, lower abdominal pain	",mild,Usually needs treatment but not emergency,"Poo sample, Blood tests","0.803, 0.525, 0.519, 0.519, 0.503",https://www.nhs.uk/conditions/ulcerative-colitis/
730,urethral disorder,"Urethral syndrome is a condition that causes irritation in your urethra — it may burn, feel itchy or achy, or even be painful. Your urethra is the tube that connects your bladder to the outside of your body. It can affect anyone. But you’re more likely to have it if you’re between 30 and 50 and female.",Urology,"vomiting, sharp abdominal pain, side pain, involuntary urination, painful urination",mild,"Varies, but usually not an immediate emergency","Tests that are used
Your healthcare provider may recommend:
Pee tests and vaginal swabs to rule out UTIs, yeast infections and bacterial vaginosis
Imaging tests to see your kidneys and ureters and rule out conditions like cysts, tumors and interstitial cystitis
Cystoscopy to look inside your urethra and bladder
Pap smear to rule out cervical cancer
Urine cytology to rule out bladder cancer","0.828, 0.749, 0.676, 0.549, 0.526",https://my.clevelandclinic.org/health/diseases/24300-urethral-syndrome
731,urethral stricture,"A urethral stricture is a narrowing of your urethra . Your urethra is the tube through which urine (pee) leaves your body. If you have a penis, your urethra runs from your bladder to the opening at the tip of your penis (urethral meatus). If you have a vagina , the urethra runs from your bladder to the front of your vagina.",Urology,"symptoms of the scrotum and testes, suprapubic pain, blood in urine, retention of urine, painful urination ",mild,Needs timely evaluation,"How do you know if you have a urethral stricture? Contact a healthcare provider if you have a slow or weak pee stream. They may order noninvasive tests to find issues you may have emptying your bladder, though they may not directly identify a urethral stricture. These tests may include: Urine flow tests . Urine flow tests measure the speed of your pee (flow rate) when you use the restroom. Post-void residual urine test (PVR) . A PVR test uses imaging tests to determine how much pee remains in your bladder after using the restroom. Typically, your bladder is empty or nearly empty after you pee. But if you have a stricture, some pee may remain in your bladder. Noninvasive tests can’t determine if a urethral stricture or another condition is affecting your ability to drain your bladder. If a provider suspects a stricture, they may order a retrograde urethrogram to identify and measure it. A retrograde urethrogram is a type of X-ray procedure. The provider will insert a contrast dye into your urethra. The dye helps the provider locate the stricture and its length. The provider may also perform a cystoscopy . During a cystoscopy, they’ll insert a small, flexible scope with a camera at the end into your urethra. The cystoscope allows the provider to identify and locate a stricture. Before the procedure, they’ll insert a numbing medication into your urethra to reduce discomfort.","0.813, 0.645, 0.537, 0.526, 0.526",https://my.clevelandclinic.org/health/diseases/urethral-stricture
732,urethral valves,"A posterior urethral valve (PUV) is a birth defect (congenital disorder) where tissue blocks the tube that pee (urine) travels through to leave your body (urethra). This means your bladder can’t empty properly, and pee can back up and cause damage to your bladder and kidneys.",Urology,"suprapubic pain, elbow weakness, lower abdominal pain, side pain, sharp abdominal pain	 ",mild,Needs timely evaluation,"How are posterior urethral valves diagnosed?
Sometimes, a provider diagnoses posterior urethral valves with an ultrasound during pregnancy. At or after birth, a provider might use one or more of these tests to diagnose PUV:
Kidney ultrasound. An ultrasound can help your provider see any blockages or differences in how your child’s kidneys, bladder and urinary tract look.
Voiding cystourethrogram. This lets your provider see how well your child’s bladder fills and empties. This will also show the urethra and any areas of narrowing.
Cystoscopy. Your provider uses a small, flexible tube with a light and a camera at the end to look inside your child’s urinary tract.
Kidney function tests. Blood or urine (pee) tests can help to determine how well your child’s kidneys are working.","0.971, 0.771, 0.657, 0.657, 0.628",https://my.clevelandclinic.org/health/diseases/17781-posterior-urethral-valves
733,urethritis,"Urethritis (yoor-uh-THRI-tis) is inflammation in your urethra. Your urethra is the tube that takes pee from your urinary bladder to the outside of your body. Typically, a bacterial infection causes urethritis. Sexually transmitted infections (STIs) are the most common type of infections that cause it.",Infectious Diseases,"vaginal itching, suprapubic pain, painful urination, penile discharge, blood in urine ",mild,Usually needs treatment but not emergency,"How doctors diagnose it
A healthcare provider will review your medical history and ask you questions about your symptoms and sexual history. They’ll also perform a physical exam of your genitals (which may include a digital rectal exam for males and a pelvic exam for females).
They’ll also recommend tests, like: Blood tests, Gonorrhea test or other STI tests, Pee tests (urinalysis)
These tests help confirm a urethritis diagnosis. They also help find out if a certain type of infection is the cause.","0.746, 0.655, 0.529, 0.514, 0.512",https://my.clevelandclinic.org/health/diseases/22858-urethritis
734,urge incontinence,Urge incontinence is a type of urinary incontinence or leakage. It causes a sudden urge to urinate (pee) and you can’t hold it. You may accidentally leak pee before you make it to the bathroom. Some people who have urinary incontinence pee more than eight times while they’re awake and get up several times while they’re asleep to pee.,Nephrology,"retention of urine, vaginal itching, blood in urine, frequent urination, involuntary urination",low,Usually managed with routine outpatient care,"How is urge incontinence diagnosed? A healthcare provider will review your medical history and ask about your symptoms to diagnose urge incontinence. Additional workup will include a physical exam . This may include a pelvic exam if you have a vagina or a digital rectal exam if you have a prostate. To help your provider make an accurate diagnosis, they may ask you to keep a bladder diary for two to three days. In your bladder diary, you’ll record: What you drink. How much you drink. How often you use the bathroom. How often you leak pee and how much. What you were doing when you leaked. Your provider may also order tests, including: Urinalysis to rule out UTIs (bladder infections), blood in your pee ( hematuria ) and other conditions. Abdominal ultrasound to look at your bladder, kidneys and other organs. Cystoscopy to examine your urinary system . Urodynamic testing , including a post-void residual urine test , to examine how well your urinary system holds and releases pee. Advertisement","0.696, 0.694, 0.680, 0.543, 0.521",https://my.clevelandclinic.org/health/diseases/22161-urge-incontinence
735,urinary tract infection,"A urinary tract infection (UTI) is an infection of your urinary system. This type of infection can involve your: Urethra, Kidneys, Bladder.",Urology,"suprapubic pain, painful urination, side pain, vomiting, blood in urine",mild,Usually needs treatment but not emergency,"What tests will be done to diagnose a urinary tract infection?
A healthcare provider may order the following tests to diagnose a UTI:
Urinalysis. During this test, you’ll pee into a special cup. The provider will send the sample to a laboratory, where technicians will examine it for signs of a UTI using multiple variables such as nitrites, leukocyte esterase and white blood cells.
Urine culture. You’ll pee into a special cup, and lab technicians will test your sample to grow and identify any bacteria that are present. Urine cultures are important because they help your provider determine the most appropriate treatment.
If your infection doesn’t respond to treatment, a provider may order the following tests to examine your urinary tract for a disease or injury:
Ultrasound. An ultrasound is an imaging test that helps your provider look at your internal organs. An ultrasound is painless and doesn’t require any preparation.
Computed tomography (CT) scan. A CT scan is another imaging test. It’s a type of X-ray that takes cross-section images of your body — like slices — that create 3D images of the inside of your body. A CT scan is more precise than a standard X-ray.
Cystoscopy. A cystoscopy uses a cystoscope to look inside your bladder through your urethra. A cystoscope is a thin instrument with a lens and a light at the end.","0.671, 0.546, 0.519, 0.513, 0.509",https://my.clevelandclinic.org/health/diseases/9135-urinary-tract-infections
736,urinary tract obstruction,A ureteral obstruction is a blockage in one or both of your ureters. Ureters are the tubes that carry pee from your kidneys to your bladder. Many different conditions and diseases can cause a blockage in your ureters.,Urology,"painful urination, excessive urination at night, blood in urine, frequent urination, symptoms of prostate ",mild,Needs timely evaluation,"How is it diagnosed?
If you suspect you have ureteral obstruction, you should see your healthcare provider. Some of the signs of a blocked ureter are like symptoms of other conditions that need treatment, such as urinary tract infections, having abdominal pain or not being able to pee even when you drink plenty of fluids.
Your provider may also order tests to help them make a diagnosis. These tests could include:
Blood tests and urinalysis: These tests can tell your provider how well your kidneys are working or if there’s an infection.
Ultrasound: An ultrasound can give your provider a better view of your kidneys, bladder and ureters.
CT (computed tomography) scan.
Bladder scan or post-void residual: This is a specific type of test that can check to see if you’re emptying your bladder completely.","0.666, 0.658, 0.540, 0.502, 0.496",https://my.clevelandclinic.org/health/diseases/21155-ureteral-obstruction
737,uterine atony,"Uterine atony (atony of the uterus) occurs when your uterus doesn’t contract (or tighten) properly during or after childbirth. It’s a serious complication that can cause life-threatening blood loss. Uterine atony (or the muscular tone of your uterus) describes a uterus that is soft, or lacking tone.",Endocrinology,"back cramps or spasms, spotting or bleeding during pregnancy, intermenstrual bleeding, pain during pregnancy, sharp abdominal pain ",high,Time-sensitive risk to organ/vision/pregnancy,Blood tests,"0.707, 0.552, 0.552, 0.543, 0.538",https://my.clevelandclinic.org/health/diseases/24010-uterine-atony
738,uterine cancer,"Uterine cancer is a general term that describes cancer in your uterus: Endometrial cancer, Uterine, sarcoma",Oncology,"groin mass, vaginal bleeding after menopause, pelvic pain",high,Potential malignancy needing prompt specialist care,"What tests will I need to diagnose uterine cancer?
Your provider may perform one or more tests to confirm a diagnosis of uterine cancer:
Blood tests: CA-125 assay measures CA-125, a protein. A certain amount of CA-125 can point to cancer in your body.
Imaging tests: CT scans take a series of detailed pictures of the inside of your body.
MRI scans use radio waves and a powerful magnet to create images.
Transvaginal ultrasound inserts a special probe (smooth, rounded device) into your vagina to get pictures of your uterus.
Other tests: Endometrial biopsy inserts a thin, flexible tube through your cervix (opening of your uterus) and into your uterus. Your provider removes a small amount of the endometrium.
Hysteroscopy inserts a hysteroscope, a long thin tube, through your vagina and cervix to reach your uterus. This narrow instrument with a light and camera provides detailed images of your uterus.
Dilation and curettage (D&C) is a more complex procedure to remove uterine tissue. It takes place in the operating room.","1.0, 1.0, 0.8",https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer
739,uterine fibroids,Uterine fibroids (also called leiomyomas) are growths made of muscle and tissue that form in or on the wall of your uterus. These growths are usually not cancerous (benign) and are the most common noncancerous tumor in females.,Oncology,"involuntary urination, intermenstrual bleeding, painful menstruation, unpredictable menstruation, cramps and spasms",mild,Needs timely evaluation,"How are uterine fibroids diagnosed? In many cases, a healthcare provider discovers uterine fibroids during a pelvic exam . Quite often, heavy bleeding and other related symptoms may alert your provider to consider fibroids as a part of the diagnosis. There are several tests that can be done to confirm fibroids and determine their size and location. These tests can include: Ultrasonography : This noninvasive imaging test creates a picture of your internal organs with sound waves. Magnetic resonance imaging (MRI) : This test creates detailed images of your internal organs by using magnets and radio waves. Computed tomography (CT) scan : A CT scan uses X-ray images to make a detailed image of your internal organs from several angles. Hysteroscopy : During a hysteroscopy, your provider will use a device called a scope (a thin, flexible tube with a camera on the end) to look at fibroids inside your uterus. The scope is passed through your vagina and cervix and then moved into your uterus. Hysterosalpingography (HSG) : This is a detailed X-ray where your provider injects contrast material and then takes X-rays of your uterus. Sonohysterography : In this imaging test, your provider places a small catheter in your vagina and then injects saline into your uterus. This extra fluid helps to create a clearer image of your uterus than you would see during a standard ultrasound. Laparoscopy : During this test, your provider will make a small cut (incision) in your lower abdomen. A thin and flexible tube with a camera on the end will be inserted to look closely at your internal organs. Advertisement","0.771, 0.673, 0.533, 0.528, 0.526",https://my.clevelandclinic.org/health/diseases/9130-uterine-fibroids
740,uveitis,"Uveitis is inflammation of your uvea , the middle layer of your eye. It can happen for unknown reasons or because of many known conditions. It can affect a specific area of your eye or multiple areas. Depending on the areas it affects, it can be painful, cause redness and irritation, or even disrupt your eyesight. It can affect one eye or both at the same time.",Ophthalmology,"elbow weakness, symptoms of eye, diminished vision",mild,Usually needs treatment but not emergency,"How is uveitis diagnosed? An eye care specialist can diagnose uveitis by asking questions about your symptoms. That includes asking about your medical history and if you’ve had an infection or injury lately. They can also look into your eyes directly or use certain tests to detect signs of uveitis. Testing for uveitis itself starts with an eye exam, especially parts like the visual acuity test and slit lamp exam . Your specialist may also use tonometry to measure the pressure inside your eye and optical coherence tomography (OCT) to check for changes in the rear structures of your eye. Advertisement Other tests are also likely, depending on your symptoms and the suspected causes. Tests your eye care specialist may recommend can include: Blood tests . These can look for infections, immune markers or other blood changes that indicate a medical condition. Imaging scans . These can look for evidence of issues elsewhere, like a chest X-ray or a brain MRI (magnetic resonance imaging). Some imaging scans use special dyes like fluorescein , which providers can inject into your blood so they can easily see blood vessels inside your eyes. Changes in the dye patterns can be an important clue for providers to determine what’s causing uveitis. Because the tests can vary depending on your symptoms and circumstances, your eye care specialist is the best source of information about specific tests. They can tell you more about these tests and why they recommend them.","0.947, 0.894, 0.631",https://my.clevelandclinic.org/health/diseases/14414-uveitis
741,vacterl syndrome,VATER syndrome (VACTERL association) is a group of growth abnormalities (birth defects) that happen in the early stages of embryo development during pregnancy. The term VATER is an acronym that identifies parts of the body that didn’t form properly during fetal development. Each case of VATER syndrome is unique. A diagnosis occurs if your child has at least three parts of their body affected by symptoms.,Genetics / Genomic Medicine,"suprapubic pain, emotional symptoms",mild,"Varies, but usually not an immediate emergency","X-ray, Ultrasound","1.0, 1.0",https://my.clevelandclinic.org/health/diseases/24083-vater-syndrome
742,vaginal cyst,"A cyst on the vagina is a lump or bump filled with air, mucus, pus or other materials. Cysts on the vagina can be undetectable — as small as a pea — or as large as an orange. There are different causes and types of vaginal cysts. Most vaginal cysts are not harmful, but some may become painful if they get infected.",Endocrinology,"heavy menstrual flow, pelvic pain, lower abdominal pain, intermenstrual bleeding, pain during pregnancy",low,Usually benign or slow-growing,"What tests are done on vaginal cysts?
Your healthcare provider may want to run tests to rule out cancer or diseases. Some tests include:
Taking a biopsy of the cyst to rule out cancer.
Removing fluid from your vagina to test for sexually transmitted infections (STIs).
Conducting an ultrasound or MRI to see the cyst in greater detail.","0.519, 0.517, 0.511, 0.510, 0.507",https://my.clevelandclinic.org/health/diseases/23452-vaginal-cysts
743,vaginal yeast infection,"A vaginal yeast infection happens when a fungus called Candida grows too much. Candida usually lives in your body without causing problems. But when it’s out of balance, it multiplies quickly and leads to a yeast infection.",Infectious Diseases,"suprapubic pain, itching of skin, vaginal itching, vaginal pain, lower abdominal pain",mild,Usually needs treatment but not emergency,N/A,"0.723, 0.523, 0.511, 0.509, 0.504",https://my.clevelandclinic.org/health/diseases/5019-vaginal-yeast-infection
744,vaginismus,Vaginismus is when the muscles around your vagina tense or contract uncontrollably in response to something trying to go in it. These muscle spasms can cause discomfort and pain.,Psychiatry,"suprapubic pain, sharp abdominal pain, pelvic pain, vaginal pain, lower abdominal pain ",mild,Needs timely evaluation,"How doctors diagnose this condition To diagnose vaginismus, a healthcare provider (usually, a gynecologist ) will ask about your symptoms, like when they happen and when they started. They may also ask about your sexual history. It’s important to be honest about what you’re experiencing. Your provider may recommend a pelvic exam to help rule out other physical issues that may be causing pain. Vaginismus can make it difficult to have these exams. Some strategies that may help include: Talking about the exam before it begins and how you and your provider will communicate during it Using a mirror so you can see what your provider is doing and what areas they’re checking Placing your hand on your provider’s hand to have a better sense of control","0.935, 0.714, 0.688, 0.558, 0.545",https://my.clevelandclinic.org/health/diseases/15723-vaginismus
745,vaginitis,"“Vaginitis” is a general term to describe conditions that cause inflammation or irritation to your vagina . Depending on the cause, you could have symptoms like itchiness, a burning feeling when you pee or foul-smelling vaginal discharge .",Infectious Diseases,"pain during intercourse, lower abdominal pain, vaginal pain, vaginal discharge, pelvic pain",mild,Usually needs treatment but not emergency,"How is vaginitis diagnosed? A healthcare provider will take a thorough medical history, complete a physical exam and perform a pelvic exam . Be sure to let them know about any history of STIs. During the pelvic exam, your provider may swab the inside of your vagina to collect a sample of discharge. They’ll send the sample off to a lab where it will be checked for infection. Your healthcare provider may also check the pH levels (how acidic something is) of your vaginal fluid to get them closer to a diagnosis. Advertisement Some providers may ask that you avoid sex or placing anything inside your vagina for at least 24 hours before your appointment.","0.669, 0.547, 0.541, 0.517, 0.512",https://my.clevelandclinic.org/health/diseases/9131-vaginitis
746,valley fever,"Valley fever is a fungal infection in your lungs . You get it from breathing in the fungus Coccidioides (cahk-sid-ee-OY-deze) from the environment. The fungus lives in the soil in the southwest U.S., parts of Washington state and in Central and South America.",Infectious Diseases,"hand or finger pain, shortness of breath, fever, shoulder swelling",mild,Usually needs treatment but not emergency,"How doctors diagnose Valley fever A healthcare provider will review your medical history, ask about your symptoms and travel history, and perform a physical exam . To help confirm a Valley fever diagnosis, they may recommend tests like: Biopsy . A provider takes a small amount of tissue and sends it to a lab to look for signs of Coccidioides . Blood tests . Blood tests are the most common way to diagnose Valley fever. They’ll send a blood sample to a lab to look for signs of Coccidioides , like antibodies or antigens . Imaging tests . A provider may recommend a chest X-ray or CT scan to look for signs of Valley fever pneumonia. Advertisement","1.000, 0.777, 0.666, 0.444",https://my.clevelandclinic.org/health/diseases/17754-valley-fever
747,varicocele of the testicles,A varicocele (VAIR-ick-oh-seal) is a common disorder that enlarges the veins in your scrotum. Your scrotum is the pouch of skin behind your penis that typically contains your testes (testicles). Varicoceles are similar to varicose veins. Varicose veins cause veins in your legs to swell and lose their shape.,Urology,"involuntary urination, pain of the anus, infertility, pain in testicles, groin pain",low,Usually managed with routine outpatient care,"How is a varicocele diagnosed?
A healthcare provider can diagnose a varicocele. They’ll review your medical history, ask questions about your symptoms and perform a physical examination.
During the physical exam, your provider may ask you to stand up, take a deep breath, hold your nose and mouth closed and strain to push air out. This is the Valsalva maneuver. They’ll feel your scrotum for enlarged veins as you’re holding your breath and straining.
They may also order the following tests to confirm their diagnosis
Pelvic ultrasound. A pelvic ultrasound is a noninvasive imaging test that gives your provider a detailed view of the veins in your testicles. It’s the most common imaging test that providers order to help diagnose varicoceles.
Semen analysis. During a semen analysis, you’ll masturbate into a special container. Your provider will then send your semen sample to a lab, where technicians will look for the presence and overall health of sperm. A provider will order a semen analysis if there are concerns that a varicocele is impacting your fertility.
Blood test. During a blood test, your provider will use a tiny needle to withdraw a small blood sample. They’ll send your blood sample to a lab, where technicians will check hormone levels, including follicle-stimulating hormone (FSH) and testosterone.","0.680, 0.674, 0.532, 0.519, 0.513",https://my.clevelandclinic.org/health/diseases/15239-varicocele
748,varicose veins,"Varicose veins are swollen, engorged blood vessels that bulge just under your skin’s surface. These blue or purple bulges usually appear in your legs, feet and ankles. They can be painful or itchy. Spider veins, which may surround varicose veins, are smaller red or purple lines that appear close to your skin’s surface.",Cardiovascular / Cardiology,"leg cramps or spasms, ache all over, leg swelling, skin lesion, leg lump or mass",low,Usually managed with routine outpatient care,"How are varicose veins diagnosed? Varicose veins are close to the surface of your skin and easy to see. Healthcare providers can diagnose the condition during a physical examination . They’ll feel your veins and examine them while you’re sitting and standing. They may also ask you questions about your medical history and your symptoms. Advertisement What tests will be done to diagnose varicose veins? Providers usually don’t need additional diagnostic tests to diagnose varicose veins. To see detailed images of your veins and check for complications, your provider may recommend an ultrasound . This safe, painless test uses sound waves to produce pictures of tissues inside your body. Ultrasounds can show blood clots and how your valves are working.","0.743, 0.539, 0.530, 0.522, 0.504",https://my.clevelandclinic.org/health/diseases/4722-varicose-veins
749,vasculitis,Vasculitis is a condition that causes inflammation (swelling) in your blood vessels.,Rheumatology,"foot or toe swelling, leg stiffness or tightness, dizziness, headache, skin lesion",mild,Usually needs treatment but not emergency,How is vasculitis diagnosed? A healthcare provider will diagnose vasculitis with a physical exam and tests. They’ll ask you about your symptoms and when you first noticed them. Diagnosing vasculitis is usually part of a differential diagnosis for other conditions. This means your provider will probably use a few tests to determine what’s causing your symptoms before diagnosing you with vasculitis. Some tests you might need include: Advertisement Biopsies . Blood tests . Tests that check the function of your affected organs. Angiograms . You’ll probably need to see a rheumatologist — a healthcare provider who specializes in treating inflammatory diseases.,"0.769, 0.745, 0.525, 0.518, 0.515",https://my.clevelandclinic.org/health/diseases/12101-vasculitis
750,venous insufficiency,"Chronic venous insufficiency (CVI) is a form of venous disease that occurs when veins in your legs are damaged. As a result, these veins can’t manage blood flow as well as they should, and it’s harder for blood in your legs to return to your heart. CVI causes blood to pool in your leg veins, leading to high pressure in those veins.",Cardiovascular / Cardiology,"leg pain, skin on leg or foot looks infected, burning chest pain, abnormal appearing skin, lymphedema",low,Usually managed with routine outpatient care,"How is chronic venous insufficiency diagnosed?
Chronic venous insufficiency is diagnosed through a physical exam and ultrasound imaging. During the physical exam, your provider will:
Carefully examine your legs: Your provider will look for clinical signs of CVI, like ulcers or changes in skin color.
Perform a vascular ultrasound: This painless test uses sound waves to create an image of your veins. It shows which parts of your veins are damaged.
Your provider will also rule out other medical conditions that could be causing your symptoms. This may involve other tests like an MRI.
Many people with CVI also have peripheral artery disease (PAD). So, your provider may ask questions or run tests to check you for PAD. If you have both CVI and PAD, your provider will advise you on treatment methods and precautions you need to take with compression therapy.","0.767, 0.702, 0.675, 0.550, 0.532",https://my.clevelandclinic.org/health/diseases/16872-chronic-venous-insufficiency-cvi
751,vertebrobasilar insufficiency,Vertebrobasilar insufficiency (VBI) is when blood flow to the back of your brain reduces or stops. VBI affects the parts of your brain that control balance and movement.,Cardiovascular / Cardiology,"back pain, sharp chest pain, leg pain, dizziness",mild,Needs timely evaluation,"How is vertebrobasilar insufficiency diagnosed? Your healthcare provider will ask you about your symptoms and give you a physical exam . They may suggest other tests, including: Imaging tests: A CT (computed tomography) scan or magnetic resonance imaging (MRI) takes pictures of the blood vessels at the back of your brain. Angiography: Your healthcare provider will use angiography to take X-ray pictures of your arteries. Computed tomography angiography (CTA) or magnetic resonance angiography (MRA): A CTA or MRA makes high-resolution, 3D pictures of your blood vessels. Echocardiogram: An echocardiogram (also called an echo) uses an ultrasound to assess sound waves, which create images of your heart’s chambers and valves. This test examines your heart’s pumping action. Electrocardiogram: An electrocardiogram (also called an ECG or EKG) measures the electrical activity of your heart. Holter monitor: A Holter monitor records your heart’s electrical activity for 24 to 48 hours while you do your daily activities. Prothrombin time (PT) and partial thromboplastin tine (PTT) blood tests: The PT test and PTT test measure the time it takes for your blood to clot.","1.000, 0.956, 0.782, 0.521",https://my.clevelandclinic.org/health/diseases/22452-vertebrobasilar-insufficiency-vbi
752,vesicoureteral reflux,"Vesicoureteral reflux (VUR) is a condition where pee (urine) flows in the wrong direction. Instead of flowing from your kidneys, down into your ureters and bladder where it stays until you pee, your pee flows backward from your bladder.",Urology,"involuntary urination, blood in urine, suprapubic pain, fever",mild,Usually needs treatment but not emergency,"How is vesicoureteral reflux (VUR) diagnosed?
Pediatric nephrologists and pediatric urologists are medical doctors who focus on kidney and urinary tract conditions. It’s likely your pediatrician will refer you to one or both of these specialists for your child’s care.
They may order the following tests to diagnose vesicoureteral reflux (VUR):
Voiding cystourethrogram (VCUG): VCUG is an X-ray image of the bladder and urethra taken before, during and after urination. A small catheter is placed into the urethra and is used to fill your child’s bladder with a special dye that can be seen by X-ray. The X-rays show if urine is flowing backward from their bladder into the ureters. A provider performs this procedure in their office, an outpatient center or a hospital. Anesthesia isn’t necessary, but sedation may help some children.
Ultrasound: This safe and painless imaging technique uses sound waves to create images of your child’s entire urinary tract, including their kidneys and bladder. The study occurs in a healthcare provider’s office, outpatient center or a hospital. A provider may use an ultrasound before a VCUG or RNC if you or your healthcare provider want to avoid exposure to X-ray radiation or radioactive material. A fetal ultrasound can also show signs of VUR (like swollen kidneys), which means a person can learn their child may have VUR during pregnancy.
Dimercaptosuccinic acid (DMSA) scan: This imaging test reveals if scars developed in your child’s kidney due to kidney UTIs.
Radionuclide cystogram (RNC): RNC is a type of nuclear scan that involves placing radioactive material into your child’s bladder. A scanner then detects the radioactive material as your child urinates or after their bladder is empty. The procedure happens in a healthcare provider’s office, outpatient center or a hospital by a specially trained technician, and the images are interpreted by a radiologist. Your child won’t need anesthesia, but sedation may help some children. RNC is more sensitive than VCUG but doesn’t provide as much detail of the bladder anatomy.
What other tests do children with vesicoureteral reflux (VUR) need?
If your child receives a vesicoureteral reflux (VUR) diagnosis, they should have the following tests regularly:
Blood pressure checks: Kidney problems put a child at higher risk for high blood pressure.
Blood tests: High levels of protein or creatinine are signs of kidney damage.
Urine tests and culture: Protein in pee is a sign of kidney damage and bacteria in pee is a sign of infection.","0.8, 0.8, 0.7, 0.6",https://my.clevelandclinic.org/health/diseases/5995-vesicoureteral-reflux
753,viral exanthem,"Exanthem is a medical term that describes a widespread rash. A viral exanthem rash accompanies a viral infection. It causes spots, bumps or blotches on your skin. You also might experience additional viral symptoms such as fever, fatigue and body aches.",Dermatology,"skin swelling, fever, abnormal appearing skin, skin rash, pulling at ears",mild,Needs timely evaluation,Blood tests,"0.738, 0.519, 0.517, 0.510, 0.505",https://my.clevelandclinic.org/health/diseases/22510-viral-exanthem-rash
754,viral hepatitis,Viral hepatitis is a viral infection that affects millions of people worldwide. It causes inflammation in your liver . Viral hepatitis can be acute (short-term) and cause symptoms that last from a few weeks to a few months. But you can have a form of chronic (long-term) viral hepatitis that doesn’t go away.,Gastroenterology / Hepatology,"hand or finger stiffness or tightness, abusing alcohol, melena, sharp abdominal pain, stomach bloating",mild,Usually needs treatment but not emergency,How doctors diagnose viral hepatitis A healthcare provider will do a physical examination . They’ll ask about your symptoms. They may do blood tests to check for signs of specific viruses. They may also do liver function tests.,"0.800, 0.714, 0.571, 0.542, 0.514",https://my.clevelandclinic.org/health/diseases/4245-hepatitis-viral-hepatitis-a-b--c
